src,dest,rssi,etx,delay,busy_fraction,label
23407,13470,-54.96,2.206,16.87,0.3793,1
21994,17030,-63.48,1.195,5.37,0.101,1
37409,60396,-77.65,5.713,69.18,0.7253,0
47179,9698,-69.44,1.631,23.79,0.4566,1
26992,67943,-46.96,1.692,2.93,0.1197,1
20681,87165,-47.57,1.271,5.15,0.6015,1
37866,11751,-72.64,7.423,140.33,0.6456,0
50555,66675,-84.96,4.515,24.81,0.7675,0
41617,18595,-94.96,11.282,32.85,0.5824,0
15622,97532,-65.76,1.607,7.79,0.1267,1
51576,67721,-64.84,4.032,68.05,0.6223,0
30269,20196,-82.16,5.366,28.47,0.8436,0
84085,59571,-79.71,2.597,30.92,0.732,0
2325,43060,-74.84,6.287,15.35,0.7804,0
76768,59224,-78.33,4.393,29.54,0.3523,0
51662,32155,-63.04,1.381,10.32,0.452,1
76193,73637,-62.9,2.932,13.93,0.545,1
42832,11607,-55.35,1.034,9.14,0.1394,1
90483,33725,-72.2,9.597,44.28,0.7978,0
44626,23897,-86.69,2.714,124.46,0.7967,0
44513,76271,-78.06,8.667,55.71,0.5954,0
98663,16808,-61.71,3.05,6.12,0.414,1
40687,15388,-75.72,4.258,60.85,0.4278,0
31859,45230,-85.78,5.716,99.54,0.806,0
37507,17574,-62.21,1.807,7.48,0.1179,1
72250,27711,-50.83,1.038,7.83,0.0763,1
70085,80824,-69.49,8.895,19.24,0.72,0
78243,70766,-70.38,10.934,17.75,0.6927,0
53437,13770,-78.97,9.558,70.97,0.6382,0
28484,4377,-61.97,1.605,5.77,0.4184,1
40638,8561,-47.43,1.918,11.81,0.4903,1
96868,25535,-79.01,3.615,62.04,0.7754,0
5240,8065,-83.06,5.993,49.98,0.915,0
74192,88097,-77.25,3.748,51.47,0.9425,0
37528,71208,-61.14,1.117,24.27,0.4713,1
52407,52945,-54.39,1.328,19.56,0.6691,1
65994,18583,-45.17,1.1,25.4,0.2106,1
93321,89107,-42.67,2.275,10.0,0.6599,1
57226,39698,-69.15,8.194,81.62,0.8286,0
80914,90954,-46.83,2.273,9.1,0.413,1
35136,94696,-62.19,5.326,48.92,0.8813,0
96273,87447,-53.1,3.779,10.98,0.3302,1
71670,91700,-80.69,6.329,38.62,0.9607,0
32975,87221,-72.83,5.635,43.07,0.4859,0
55054,38899,-62.13,1.077,9.18,0.0661,1
8149,75157,-73.26,5.912,49.86,0.4532,0
5986,83270,-83.69,6.145,40.49,0.5738,0
13123,19426,-70.91,1.313,9.59,0.4731,1
41025,83380,-60.18,1.899,17.7,0.3321,1
19944,20865,-62.41,3.407,3.94,0.0934,1
64988,88299,-69.56,4.812,27.1,0.7873,0
19675,15263,-50.44,1.989,27.75,0.5743,1
56327,45460,-85.75,10.377,38.55,0.696,0
89285,16120,-72.09,7.406,61.91,0.8025,0
77879,11055,-42.49,1.126,5.63,0.5377,1
27363,36319,-72.03,2.644,17.74,0.2921,1
6183,58000,-49.63,2.652,3.49,0.2498,1
64490,60154,-59.41,1.534,4.34,0.411,1
4365,98483,-45.37,1.21,4.62,0.2097,1
72490,68704,-77.84,6.035,54.48,0.7264,0
11414,55787,-81.85,2.736,150.0,0.6948,0
35898,95994,-51.08,1.636,85.63,0.762,0
112,64301,-65.62,1.253,23.99,0.102,1
72623,17412,-67.95,4.656,58.2,0.6979,0
32541,15388,-56.86,4.247,27.63,0.5886,0
56933,47115,-63.98,2.19,3.18,0.348,1
16612,31,-76.1,5.538,83.46,0.91,0
49489,73626,-61.43,1.694,9.0,0.2419,1
68436,14535,-86.46,4.861,47.49,0.7489,0
13423,38547,-80.05,10.27,62.17,0.3933,0
53750,47599,-75.72,5.823,37.24,0.5381,0
95859,79266,-63.49,4.772,17.14,0.5509,0
15764,8791,-55.81,1.679,5.81,0.2052,1
81950,82786,-59.38,1.239,6.43,0.3035,1
86858,84259,-48.98,1.624,5.11,0.3922,1
44903,51130,-69.92,6.848,56.3,0.8298,0
6468,55354,-82.73,6.22,51.42,0.5356,0
44173,29408,-60.7,1.087,5.67,0.2706,1
95107,33399,-53.48,1.502,12.55,0.1895,1
54782,85957,-49.69,3.034,10.59,0.4008,1
49860,60563,-45.65,1.065,13.1,0.2266,1
47624,8384,-72.36,6.999,150.0,0.9777,0
26585,27663,-74.33,7.852,47.8,0.5239,0
15307,32068,-56.37,1.527,2.69,0.1711,1
61042,45239,-47.28,1.592,9.96,0.1926,1
72704,92514,-38.86,1.253,4.85,0.2207,1
57908,40904,-47.16,1.008,7.1,0.0498,1
89828,94185,-64.38,4.535,19.24,0.9769,0
37922,20787,-50.99,2.622,4.33,0.412,1
82246,52258,-62.69,3.667,150.0,0.7975,0
72912,61560,-59.92,2.885,32.19,0.7812,0
74554,99030,-50.86,4.52,20.22,0.0759,1
88499,99079,-52.03,1.003,23.73,0.1314,1
50233,90697,-68.1,2.336,20.14,0.6799,0
32539,62271,-70.01,4.677,35.66,0.4927,0
84273,87188,-54.26,1.0,12.77,0.2876,1
44829,76230,-69.17,1.171,9.05,0.2716,1
83519,8019,-72.92,7.664,60.56,0.8655,0
70469,91031,-66.78,1.229,7.75,0.2241,1
80003,29312,-59.03,8.724,23.74,0.8172,0
85168,80528,-61.36,1.034,9.49,0.305,1
61815,1452,-58.34,1.007,5.31,0.3391,1
98928,47536,-59.66,1.609,11.08,0.2692,1
83191,72644,-58.13,1.292,9.58,0.0496,1
40876,42265,-52.13,2.0,9.53,0.051,1
87876,55796,-78.46,1.972,147.59,0.5999,0
33128,7874,-71.65,4.662,19.69,0.9227,0
29793,53950,-79.35,6.055,57.99,0.9513,0
43680,986,-65.98,1.326,10.86,0.3014,1
66341,19410,-56.12,1.757,3.26,0.0529,1
32010,52259,-81.93,5.328,23.68,0.3425,0
41825,57381,-79.52,10.747,38.53,0.9728,0
96316,5725,-53.65,3.238,9.71,0.363,1
45521,95480,-75.11,15.0,96.6,0.8276,0
75716,71129,-46.5,2.342,13.15,0.0825,1
2183,17691,-41.24,2.527,10.2,0.4636,1
93808,74128,-68.77,12.623,38.87,0.8485,0
16101,9153,-53.24,1.102,36.91,0.1861,1
56530,38769,-88.66,5.959,25.83,0.4557,0
7440,43430,-56.12,1.079,3.94,0.2773,1
98396,61668,-51.03,2.085,3.61,0.0526,1
2671,16954,-49.48,1.58,9.93,0.1798,1
62797,63981,-66.93,4.8,45.96,0.3935,0
95274,35466,-60.5,1.064,17.07,0.1722,1
91818,10520,-62.03,1.278,5.91,0.5265,1
95989,51450,-63.49,2.939,19.58,0.1694,1
3058,95286,-64.1,2.426,51.91,0.5178,0
5155,21858,-78.69,6.324,79.1,0.7135,0
47669,94941,-65.16,1.322,15.39,0.3669,1
8637,82986,-58.2,4.54,150.0,0.6914,0
20681,72843,-47.0,1.227,12.73,0.3094,1
73889,32712,-60.81,1.394,7.22,0.2378,1
43087,64039,-93.9,7.793,77.76,0.708,0
7919,78565,-69.6,1.857,9.44,0.5455,1
81984,98845,-60.76,2.579,8.08,0.2381,1
41111,96618,-78.84,7.684,91.29,0.7926,0
29563,83724,-60.15,2.853,6.25,0.1479,1
99632,80196,-51.59,4.784,23.69,0.7417,0
177,47292,-66.55,6.378,16.94,0.7155,0
54418,19605,-76.89,3.712,52.18,0.8035,0
48490,90771,-74.84,6.856,49.45,0.6546,0
76719,81437,-68.64,1.25,9.98,0.2203,1
6468,93287,-56.71,4.664,150.0,0.7753,0
44751,99193,-72.5,5.529,32.46,0.6205,0
94712,50859,-51.07,1.581,20.96,0.1127,1
94588,79061,-62.45,1.257,21.68,0.475,1
86064,17717,-62.49,1.898,8.82,0.7042,1
81120,22237,-59.26,1.838,4.44,0.1682,1
70538,44467,-62.78,1.034,38.65,0.1979,1
24911,5840,-76.21,6.64,150.0,0.6017,0
91655,31452,-55.02,1.571,8.17,0.0875,1
34361,60853,-74.79,10.232,22.46,0.6472,0
17092,61045,-61.71,1.275,10.61,0.2361,1
21769,23072,-62.84,1.55,13.04,0.1327,1
31303,17098,-48.95,2.294,10.93,0.2839,1
85323,20256,-60.68,3.646,5.53,0.4675,1
11464,2716,-69.43,3.303,131.3,0.6312,0
69322,33565,-69.9,1.987,14.92,0.7576,0
33078,64104,-57.81,3.654,12.29,0.5327,0
15682,77568,-48.58,1.485,19.5,0.3819,1
80308,81517,-52.58,1.446,5.69,0.3412,1
21463,69369,-77.41,2.703,7.39,0.3034,1
75268,57496,-64.86,4.376,15.61,0.7924,0
11172,48886,-65.17,1.928,6.0,0.4892,1
94755,95286,-67.45,7.138,42.05,0.7396,0
26426,23224,-37.34,1.204,13.0,0.3674,1
5257,84726,-47.94,3.264,10.32,0.3278,1
55274,28339,-61.32,1.565,5.64,0.3401,1
45684,53101,-59.21,1.018,15.53,0.4776,1
87646,57076,-88.82,7.098,150.0,0.6722,0
2558,29224,-84.99,3.7,50.34,0.7666,0
43215,2312,-72.29,7.899,90.15,0.6674,0
21592,99129,-45.65,2.568,3.45,0.1391,1
1459,35665,-61.85,2.172,13.27,0.3448,1
29530,44272,-68.95,5.133,101.45,0.8161,0
87665,60775,-47.56,1.238,22.15,0.0547,1
61396,45712,-66.06,8.285,92.11,0.817,0
42582,46175,-67.93,4.888,17.5,0.63,0
40950,2918,-94.37,8.912,29.46,0.679,0
44999,92274,-53.32,1.019,7.84,0.062,1
34574,23205,-81.58,7.708,26.49,0.7077,0
88071,95088,-73.9,4.549,65.51,0.627,0
69427,23852,-44.15,4.338,14.3,0.3295,1
11256,24883,-59.11,3.852,13.74,0.9142,0
47018,57643,-64.43,1.943,14.42,0.3913,1
23860,45489,-51.91,1.091,11.33,0.3186,1
5900,23960,-55.4,1.88,36.99,0.6561,1
94870,15637,-72.89,14.727,98.14,0.7597,0
52245,84208,-60.81,1.797,35.44,0.8265,0
97855,98655,-63.85,1.583,4.98,0.3417,1
97606,1901,-41.68,1.609,12.19,0.4747,1
62532,91546,-35.39,1.28,9.35,0.2353,1
69047,77996,-69.27,4.53,63.05,0.7802,0
27328,42365,-75.98,5.03,61.89,0.3736,0
98506,85330,-52.9,1.425,4.37,0.3251,1
94944,75762,-66.78,5.141,150.0,0.7809,0
67010,54923,-83.87,2.01,76.54,0.7552,0
40413,10806,-70.45,5.961,38.85,0.6642,0
39447,23179,-94.95,5.585,46.21,0.9214,0
30908,3010,-51.51,1.646,27.07,0.2925,1
11392,22938,-64.49,1.336,55.07,0.3292,1
52169,26347,-52.78,4.895,36.97,0.909,0
35064,18032,-55.71,2.037,12.93,0.274,1
40866,59699,-53.77,6.701,29.81,0.4152,0
55429,84408,-89.79,6.354,16.24,0.5495,0
26004,95012,-49.63,5.216,22.69,0.7071,0
99303,11169,-51.31,1.014,31.44,0.1627,1
26221,74754,-62.81,3.243,9.79,0.0461,1
49843,43563,-52.83,1.565,17.51,0.0504,1
76950,52648,-88.93,2.794,147.61,0.5483,0
33934,81653,-52.62,1.606,8.78,0.3938,1
21335,6646,-60.48,1.105,4.89,0.3618,1
63939,80336,-53.36,7.394,64.01,0.5889,0
77058,1097,-46.61,1.086,5.33,0.0516,1
19422,92754,-63.81,1.672,22.3,0.4275,1
88772,17081,-76.01,7.326,66.66,0.6373,0
60467,47578,-75.85,11.359,23.0,0.8735,0
28220,35250,-68.26,4.733,39.72,0.5456,0
73042,41294,-58.0,2.04,5.82,0.4826,1
82721,85730,-60.7,1.366,11.4,0.1157,1
14793,65812,-64.17,3.374,8.3,0.1813,1
66708,88636,-61.95,1.309,7.51,0.5927,1
30989,77621,-58.15,1.539,8.94,0.4038,1
61901,37608,-71.24,5.19,119.44,0.8984,0
4188,62781,-59.3,1.036,3.61,0.3426,1
50611,45636,-48.07,2.097,9.25,0.5389,1
75048,59978,-63.54,2.604,33.26,0.6959,0
87697,87934,-78.48,4.076,27.84,0.7101,0
65023,46537,-44.43,1.312,5.65,0.1806,1
79560,64527,-76.2,9.536,93.46,0.6182,0
64753,86233,-47.69,2.277,18.92,0.6501,1
15228,40228,-93.23,9.265,112.14,0.5312,0
50031,58180,-47.03,1.574,10.29,0.1452,1
97333,56943,-74.04,1.529,5.24,0.4098,1
45227,66468,-71.84,5.139,27.2,0.2768,0
52615,21842,-42.71,1.944,14.06,0.1738,1
25432,51055,-85.9,4.476,33.54,0.5204,0
98483,11168,-57.32,2.155,10.36,0.3797,1
23945,62581,-53.01,1.965,10.19,0.3457,1
38048,29076,-71.79,4.887,20.18,0.2608,0
23823,52895,-63.24,11.098,48.65,0.6525,0
10003,76158,-56.91,1.211,28.44,0.0481,1
20862,49473,-56.89,1.173,10.96,0.3332,1
83256,82877,-71.53,5.478,36.28,0.9192,0
11535,64979,-81.42,5.671,27.13,0.5628,0
30208,72514,-48.14,1.901,23.32,0.701,1
36089,17106,-71.78,4.35,17.45,0.8447,0
97922,9188,-70.6,5.555,115.88,0.7215,0
67040,42911,-43.4,1.137,11.29,0.172,1
42288,24017,-93.41,11.146,20.25,0.1279,0
14455,58932,-54.09,1.151,6.22,0.5053,1
9428,671,-82.11,5.636,87.84,0.5717,0
47069,22677,-49.67,1.628,19.24,0.1593,1
69164,69766,-60.3,1.935,7.56,0.1878,1
37364,45127,-61.16,2.487,72.44,0.6322,0
49906,6267,-77.56,7.947,45.78,0.695,0
34762,72155,-75.62,4.739,30.07,0.6324,0
5194,86618,-67.94,4.599,15.95,0.7336,0
34923,45151,-82.61,7.613,20.01,0.7877,0
47516,9549,-77.78,2.692,90.03,0.8952,0
84929,53759,-55.05,1.173,14.65,0.1075,1
80758,4849,-71.16,3.207,64.05,0.7438,0
86558,49489,-52.69,6.252,14.08,0.8466,0
85787,68219,-64.34,1.201,6.76,0.1873,1
48701,76711,-90.92,7.141,54.44,0.4958,0
59333,22598,-77.42,7.36,51.54,0.8057,0
47007,92372,-65.43,2.545,37.22,0.6666,0
5544,51330,-58.77,1.98,5.52,0.2041,1
21728,52221,-81.14,4.528,52.93,0.6353,0
32007,22678,-50.4,1.662,10.54,0.2839,1
33109,72364,-66.73,1.034,19.15,0.431,1
4310,76109,-74.45,14.005,54.63,0.6074,0
81906,1769,-64.21,1.961,5.48,0.0928,1
12214,46700,-46.8,1.888,13.56,0.2529,1
98536,90353,-87.33,3.692,150.0,0.6281,0
75328,85089,-59.97,1.177,21.08,0.2682,1
25758,70317,-58.87,6.695,94.66,0.6024,0
27976,70056,-55.1,1.691,19.16,0.2263,1
8610,87302,-44.44,1.161,6.73,0.2116,1
84393,92861,-57.55,1.747,9.66,0.1309,1
23424,17171,-57.14,1.093,21.55,0.2194,1
19641,26705,-48.08,1.342,7.14,0.1161,1
65126,42105,-70.81,3.345,18.24,0.3996,1
15068,55755,-76.47,6.416,30.48,0.7245,0
12985,21485,-45.19,2.741,12.25,0.2824,1
61842,37821,-65.88,1.248,1.47,0.4801,1
76068,34032,-59.9,7.361,82.82,0.7078,0
78399,35355,-75.49,5.709,44.7,0.8147,0
43875,16094,-71.62,5.043,42.36,0.6683,0
66492,89116,-84.01,6.392,150.0,0.6621,0
45469,43949,-42.3,1.0,6.47,0.2162,1
15095,15995,-75.31,8.195,37.4,0.7722,0
77152,94348,-77.68,7.289,29.81,0.5491,0
87214,40134,-74.9,6.614,64.27,0.7198,0
71139,57054,-61.36,1.241,26.09,0.1972,1
2379,5148,-88.77,4.916,43.64,0.6054,0
63619,15929,-79.74,7.464,150.0,0.6662,0
34584,71329,-57.17,1.775,25.27,0.3243,1
26694,16607,-49.0,1.336,6.68,0.5658,1
99349,10981,-73.12,3.882,58.06,0.3806,0
86326,30604,-74.9,5.22,111.32,0.824,0
4322,57572,-70.95,4.729,177.53,0.4785,0
36204,12613,-49.41,2.58,31.51,0.1853,1
74258,18745,-72.03,6.823,34.98,0.7085,0
98568,90807,-54.59,1.089,6.29,0.3056,1
25330,66640,-79.01,5.011,83.16,0.9476,0
92512,15867,-66.72,2.309,19.49,0.3057,1
52034,83953,-54.49,1.138,6.92,0.3089,1
58962,84897,-54.37,3.261,17.21,0.2749,1
46734,98170,-85.9,3.762,28.41,0.5985,0
57605,36116,-64.59,1.137,12.76,0.3949,1
4550,30904,-58.86,4.368,126.73,0.8822,0
56259,95804,-62.23,1.024,17.6,0.0922,1
34667,22049,-55.82,1.147,3.96,0.108,1
74397,73195,-57.37,4.091,41.43,0.837,0
64811,28358,-44.54,1.326,8.11,0.0647,1
28805,69911,-54.75,1.674,13.18,0.4066,1
70065,13216,-66.77,3.421,27.77,0.3684,1
50335,98446,-58.21,1.187,3.7,0.421,1
83654,83437,-68.02,1.754,13.07,0.1887,1
91473,38514,-51.01,1.646,6.81,0.1872,1
82404,62465,-75.48,2.731,26.03,0.5511,0
77019,38893,-66.96,7.289,62.66,0.6613,0
80251,46715,-61.28,4.42,7.12,0.1547,1
11459,82644,-77.1,6.762,150.0,0.6638,0
27703,76671,-82.81,6.04,75.19,0.7176,0
53963,89456,-81.89,6.264,22.38,0.2801,0
84205,38026,-77.65,13.655,56.81,0.5857,0
87106,10141,-51.6,1.992,12.39,0.2302,1
5825,51286,-67.65,6.107,67.37,0.8187,0
70910,50387,-72.74,7.618,112.53,0.6933,0
6651,47719,-64.14,3.498,9.97,0.5857,0
65743,62472,-60.05,1.083,5.35,0.5713,1
59941,3922,-90.42,3.017,150.0,0.605,0
58512,38844,-52.91,1.891,3.87,0.0807,1
67679,92578,-52.37,1.077,16.35,0.1645,1
24466,83754,-30.0,1.399,4.55,0.2165,1
99484,54225,-63.33,1.366,21.11,0.1297,1
98660,4664,-57.58,1.264,9.25,0.2555,1
66038,64394,-72.95,9.73,71.47,0.6705,0
92767,77185,-55.69,1.617,11.7,0.3504,1
53610,35945,-58.42,1.829,4.02,0.2827,1
28238,68367,-50.74,2.956,7.29,0.0607,1
1964,75832,-56.24,1.382,16.89,0.4494,1
76166,93022,-81.36,3.79,27.12,0.8572,0
55355,60884,-54.04,1.342,9.99,0.3012,1
79210,20746,-75.53,3.228,85.93,0.567,0
74425,94152,-54.79,2.022,6.7,0.1297,1
98552,15901,-64.93,2.372,3.86,0.2874,1
20858,57885,-43.01,1.132,22.07,0.306,1
95693,75654,-58.28,1.238,7.85,0.1735,1
45180,57356,-67.25,1.191,10.91,0.4581,1
96474,15037,-64.36,1.244,5.89,0.1564,1
22042,36270,-42.97,2.721,23.64,0.3793,1
5774,95610,-73.36,13.973,150.0,0.6854,0
31973,12060,-51.99,1.383,8.09,0.4065,1
37554,62822,-52.12,5.901,21.15,0.8142,0
36534,53841,-81.91,13.285,106.41,0.7521,0
19555,90181,-48.04,1.766,22.8,0.3584,1
22649,72671,-66.72,1.401,18.43,0.6881,1
6284,27358,-77.79,3.778,58.96,0.8156,0
59125,59024,-79.18,3.118,28.02,0.748,0
56043,18073,-73.25,6.998,150.0,0.8148,0
91991,24657,-62.77,2.33,8.63,0.12,1
80775,50581,-47.1,1.466,7.12,0.3548,1
73189,52069,-41.38,1.3,13.5,0.4054,1
8223,3296,-54.85,1.69,23.3,0.3946,1
56841,29010,-80.4,8.476,65.23,0.7703,0
14888,3243,-93.14,2.43,23.05,0.5964,0
46404,65759,-64.38,1.648,3.07,0.3105,1
78945,75319,-58.73,1.82,11.41,0.1699,1
29431,55068,-89.64,5.562,99.0,0.7087,0
49838,51422,-52.52,1.072,7.1,0.1192,1
20627,99049,-54.97,2.682,10.35,0.1645,1
83248,82590,-66.31,6.772,38.84,0.6402,0
26003,4484,-52.64,1.497,8.13,0.3861,1
33130,69978,-92.24,6.424,64.38,0.7861,0
33916,78503,-57.01,2.036,2.29,0.2587,1
84360,23524,-88.29,7.825,22.11,0.9744,0
3912,69319,-71.52,7.222,80.1,0.6394,0
6037,121,-62.04,3.457,150.0,0.7854,0
72790,98140,-40.04,1.157,7.87,0.123,1
37059,65696,-79.92,10.362,90.51,0.9369,0
40862,94850,-72.71,2.248,9.14,0.5327,1
88108,12976,-47.96,1.057,15.14,0.1598,1
49653,89646,-87.75,10.25,36.14,0.77,0
37414,21184,-64.34,1.728,13.58,0.5606,1
94242,66353,-49.6,2.901,8.12,0.3999,1
13602,34212,-59.94,2.33,70.8,0.8123,0
77264,59683,-46.01,2.522,4.91,0.6672,1
6867,96628,-47.97,3.861,85.84,0.7486,0
48765,14652,-81.82,9.189,37.34,0.9357,0
81933,56333,-67.03,4.999,149.81,0.5793,0
6992,22173,-58.02,6.114,46.13,0.4965,0
52364,98380,-47.12,1.015,10.84,0.1782,1
55712,84521,-62.45,1.297,4.41,0.2737,1
61535,65334,-76.43,4.283,79.99,0.6651,0
63028,66602,-48.15,1.637,8.21,0.1711,1
86092,97251,-50.3,1.095,11.01,0.1124,1
76150,74914,-49.4,1.243,4.34,0.4066,1
58814,58964,-60.25,2.327,3.79,0.287,1
67453,63655,-47.21,1.019,27.57,0.4822,1
53058,88660,-58.28,3.845,75.28,0.628,0
72106,88833,-54.21,1.022,15.73,0.2573,1
78793,72032,-47.58,4.632,13.43,0.2808,1
75627,57240,-74.82,5.464,33.91,0.896,0
4891,39131,-90.54,6.63,53.28,0.3737,0
34728,50364,-75.61,2.878,9.91,0.1027,1
3254,93941,-68.19,1.105,20.22,0.5915,1
90963,16769,-62.51,6.92,9.92,0.5396,0
60724,82696,-75.55,7.016,38.11,0.891,0
29217,50156,-55.44,1.467,20.03,0.2897,1
69561,83576,-67.67,1.268,5.36,0.2653,1
2596,6851,-50.38,1.212,19.22,0.1361,1
17271,3997,-88.63,3.548,11.2,0.4352,0
33075,12823,-62.14,1.305,7.2,0.2604,1
61056,82245,-38.31,1.224,12.86,0.238,1
59707,82316,-66.2,2.706,69.1,0.8856,0
387,36494,-71.17,4.199,161.69,0.4945,0
2617,8384,-61.97,6.8,25.52,0.9516,0
79013,48848,-66.83,1.09,28.52,0.1383,1
89609,95773,-39.18,2.085,6.29,0.2657,1
41968,13687,-77.55,5.284,36.44,0.9154,0
34681,58511,-53.04,3.096,7.62,0.0541,1
89610,73234,-74.98,3.937,150.0,0.7426,0
66118,70402,-67.14,3.563,5.15,0.3062,1
52114,26695,-39.79,2.647,6.5,0.0509,1
97268,37571,-92.88,2.257,17.33,0.5804,0
26508,65089,-60.9,1.461,7.47,0.5882,1
51435,16414,-58.24,12.892,19.81,0.2972,0
1024,45264,-56.35,1.844,30.59,0.257,1
11498,80266,-52.27,1.413,7.88,0.3099,1
2711,16426,-49.75,1.226,6.94,0.2774,1
11752,44673,-55.43,1.176,14.15,0.3434,1
82158,5183,-59.44,2.207,8.94,0.4107,1
22456,23619,-68.63,9.234,50.16,0.616,0
93421,2377,-41.01,3.558,9.12,0.3256,1
11884,83965,-83.64,6.09,124.48,0.612,0
47719,48742,-79.54,3.717,84.48,0.8498,0
10255,23847,-77.39,4.046,13.53,0.8413,0
77340,30295,-66.21,1.09,10.43,0.3637,1
33103,11727,-72.03,3.007,70.71,0.7178,0
4395,87577,-70.25,9.197,105.3,0.6017,0
87160,24225,-55.49,3.356,11.23,0.1076,1
29843,94809,-62.3,4.168,65.9,0.8596,0
27531,66777,-56.51,1.405,13.14,0.2247,1
40262,74432,-56.46,2.283,5.23,0.2827,1
66622,95620,-57.66,1.174,25.68,0.2679,1
52898,81038,-54.31,1.984,6.07,0.1354,1
98185,67093,-44.12,1.106,14.82,0.3811,1
41086,90299,-95.0,4.019,18.97,0.8269,0
89426,96651,-79.21,9.387,32.1,0.7537,0
92034,49742,-53.19,1.059,20.3,0.3041,1
2124,49416,-53.3,1.106,27.94,0.0843,1
97361,20184,-73.73,3.482,14.33,0.7669,0
70840,98002,-62.52,1.332,21.5,0.1279,1
77784,91526,-67.31,10.552,36.18,0.7123,0
75285,6996,-74.06,6.792,103.41,0.6278,0
94800,51422,-78.17,2.967,41.11,0.9031,0
6106,91036,-68.11,5.346,22.83,0.8655,0
10907,7261,-85.04,4.171,64.34,0.9196,0
380,73483,-44.9,3.591,22.64,0.347,1
9554,31187,-95.0,4.426,110.92,0.485,0
12624,35263,-53.37,1.741,13.08,0.4588,1
43712,70564,-82.53,11.313,150.0,0.7421,0
88926,39797,-75.08,4.561,34.97,0.6924,0
81923,29362,-67.72,1.329,25.27,0.3374,1
16621,98644,-84.95,4.14,150.0,0.8664,0
49460,41435,-61.02,3.264,40.44,0.5231,0
